source_path	source_sha256	evidence_kind	evidence_count	cutover_disposition	cutover_status
crates/nuxie-renderer/src/generated/tessellate.webgpu_nossbo_vert.wgsl	edb8a919f45d5e9812ea8f87949b389ce1133d3a56064b2096bc9811d95b430c	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/tessellate.webgpu_vert.wgsl	b63f3f6e858d0c895e9f10a40836420a9efd54fd84310f271a802d7a6e18859e	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/gpu.rs	fe726946a71103c734f2caf2611b4b435c80868cb075beb23a351c4bda0083fb	direct-rust-wgpu-owner-or-callsite	50	retain-shared-exact-source-support	complete
crates/nuxie-renderer/src/gpu_canvas.rs	7c523b2b0b51b7a310bc0f9dd9c6a66d013346e5ec6f13b682f5f1862b311737	direct-rust-wgpu-owner-or-callsite	394	delete	complete
crates/nuxie-renderer/src/gpu_canvas_shader.rs	a69e79a6495e53058440edaf82ea9b724a9b8b8458511d140feb4fea3422d71b	direct-rust-wgpu-owner-or-callsite	17	delete	complete
crates/nuxie-renderer/src/gr_triangulator.rs	ced2d2df63c696bec440e9b3bddb47fde3adbaa100f166b7f01c1b43bf84eac3	direct-rust-wgpu-owner-or-callsite	8	retain-shared-exact-source-support	complete
crates/nuxie-renderer/src/gradient_pipeline.rs	cb2ae43c15a8afee0df83639a417a404ef68b3315b3ec47349b6219a3a1f7312	direct-rust-wgpu-owner-or-callsite	39	delete	complete
crates/nuxie-renderer/src/lib.rs	34c8476d70bebc64af69b79fc980c55f8a182c42f6172216e290eb7f886b5101	direct-rust-wgpu-owner-or-callsite	407	replace-with-explicit-exact-root	complete
crates/nuxie-renderer/src/logical_frame.rs	958223fc3ceacea00279cfa878ce673f199e4e33853262d4becc1f02807d9175	direct-rust-wgpu-owner-or-callsite	1	delete	complete
crates/nuxie-renderer/src/metal.rs	5d7bc3f71a54e3dd386816381e7bdd2b3e640aa1b13a2e4e5dccd5eb6b9ebd58	direct-rust-wgpu-owner-or-callsite	48	delete	complete
crates/nuxie-renderer/src/mipmap_pipeline.rs	8489b8c01155ce09b2da881e74b01e52bceff0d35051b27f8fb0d21a5013e590	direct-rust-wgpu-owner-or-callsite	47	delete	complete
crates/nuxie-renderer/src/msaa_atlas_pipeline.rs	d731bf347b38c08c244c158afdf57ab9efacf0661ec94b361ef0756b445fa2ef	direct-rust-wgpu-owner-or-callsite	104	delete	complete
crates/nuxie-renderer/src/msaa_image_mesh_pipeline.rs	5ef685264446a48bd29b652933950cbd4950426ab870455e06ba474e380421fc	direct-rust-wgpu-owner-or-callsite	98	delete	complete
crates/nuxie-renderer/src/msaa_stencil_pipeline.rs	eb7fd6f7c3410c97201c4408617279aaaae05f0bcc1868b3609bdc906b1cc6f4	direct-rust-wgpu-owner-or-callsite	63	delete	complete
crates/nuxie-renderer/src/native_apple_surface.rs	277d5be950a6b30532cdb421c719eedccd06f620336148017030d79b7026f3e5	direct-rust-wgpu-owner-or-callsite	1	retain-exact-metal-product-root	complete
crates/nuxie-renderer/src/native_root.rs	b5161cea65a076314c184798f2fc16c3fb89280e943a77ac5faafce8826a29be	direct-rust-wgpu-owner-or-callsite	2	retain-shared-exact-product-root	complete
crates/nuxie-renderer/src/path_pipeline.rs	c1e50de6ea65ceaf9e85e87def89363f49b553cc995ef640e515354bd3b173bf	direct-rust-wgpu-owner-or-callsite	206	delete	complete
crates/nuxie-renderer/src/present_pipeline.rs	7fcac0f39d50d0798d4a55dd5a204a65e5d280c1fcafcdddabbf5e88b3959d2f	direct-rust-wgpu-owner-or-callsite	39	delete	complete
crates/nuxie-renderer/src/presentation.rs	841f927f05f159a5508b229fe5f47eeaaf8bfda64cdd0443456f9710c5f6e653	direct-rust-wgpu-owner-or-callsite	21	delete	complete
crates/nuxie-renderer/src/renderer_types.rs	7590a950f0ce91226dd2922e7818c05380f41c6f76f1ab8b64e257ee3a58b89f	direct-rust-wgpu-owner-or-callsite	2	retain-shared-exact-product-root	complete
crates/nuxie-renderer/src/shader_catalog.rs	c5f6fd789eb97e6f0cada56a7cbf56f0e1ec92947ff67d19c157ac12369d6364	direct-rust-wgpu-owner-or-callsite	5	delete	complete
crates/nuxie-renderer/src/solid.wgsl	6f63b856261643a6277edde6b1ab5b21737d8eccf4408da0d218fab5136862fe	wgsl-artifact	1	delete	complete
crates/nuxie-renderer/src/storage_texture.rs	7bb76bca112ac11eb390a41bcfc3b617f23278fe6c4b55d970fb5682287847dd	direct-rust-wgpu-owner-or-callsite	43	delete	complete
crates/nuxie-renderer/src/surface_present.wgsl	f011bb7d3b615def5b844d2461ff6c1958fcf0630c5c9f2d0e1db7fc8418ec26	wgsl-artifact	1	delete	complete
crates/nuxie-renderer/src/tessellator.rs	89295f4bd316813a64da02e61fd79a9f1efa72ba345aee70b2e48a30cff13080	direct-rust-wgpu-owner-or-callsite	171	delete	complete
crates/nuxie-renderer/src/work_metrics.rs	256e1c5ec442639e7a30b73232dae9b7b49c475c92b2cdf74fc456c33a4fb30d	direct-rust-wgpu-owner-or-callsite	41	delete	complete
